year,month,res,nonres,tot
2022,January,670,42,712
2022,February,667,42,709
2022,March,823,42,865
2022,April,764,129,893
2022,May,743,67,810
2022,June,717,134,851
2022,July,778,404,1182
2022,August,670,376,1046
2022,September,472,265,737
2022,October,378,69,447
2022,November,517,143,660
2022,December,503,114,617
2014,January,687,35,722
2014,February,657,38,695
2014,March,732,42,774
2014,April,666,43,709
2014,May,704,44,748
2014,June,609,36,645
2014,July,599,34,633
2014,August,654,39,693
2014,September,553,39,592
2014,October,650,55,705
2014,November,535,47,582
2014,December,575,45,620
2015,January,753,59,812
2015,February,703,47,750
2015,March,670,27,697
2015,April,657,44,701
2015,May,681,43,724
2015,June,644,39,683
2015,July,621,48,669
2015,August,527,23,550
2015,September,581,44,625
2015,October,592,33,625
2015,November,504,30,534
2015,December,554,33,587
2016,January,599,34,633
2016,February,607,49,656
2016,March,687,54,741
2016,April,661,35,696
2016,May,566,55,621
2016,June,552,61,613
2016,July,549,52,601
2016,August,530,28,558
2016,September,530,49,579
2016,October,476,33,509
2016,November,502,18,520
2016,December,508,42,550
2017,January,571,47,618
2017,February,617,49,666
2017,March,741,51,792
2017,April,584,42,626
2017,May,588,55,643
2017,June,554,66,620
2017,July,513,42,555
2017,August,632,51,683
2017,September,588,47,635
2017,October,580,54,634
2017,November,615,40,655
2017,December,589,62,651
2018,January,576,59,635
2018,February,626,40,666
2018,March,746,78,824
2018,April,581,65,646
2018,May,666,72,738
2018,June,641,74,715
2018,July,494,58,552
2018,August,668,76,744
2018,September,579,57,636
2018,October,523,63,586
2018,November,588,66,654
2018,December,575,66,641
2019,January,675,61,736
2019,February,622,72,694
2019,March,646,86,732
2019,April,578,71,649
2019,May,668,71,739
2019,June,504,42,546
2019,July,561,39,600
2019,August,634,39,673
2019,September,468,35,503
2019,October,556,43,599
2019,November,596,33,629
2019,December,511,26,537
2020,January,694,59,753
2020,February,587,24,611
2020,March,648,37,685
2020,April,693,35,728
2020,May,711,26,737
2020,June,543,21,564
2020,July,657,26,683
2020,August,520,23,543
2020,September,639,32,671
2020,October,605,36,641
2020,November,497,32,529
2020,December,578,33,611
2021,January,750,43,793
2021,February,648,38,686
2021,March,732,40,772
2021,April,750,36,786
2021,May,591,40,631
2021,June,639,45,684
2021,July,689,25,714
2021,August,651,34,685
2021,September,639,45,684
2021,October,641,36,677
2021,November,580,24,604
2021,December,639,59,698
